fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.384,0.698,-0.0,1.925,0.076,11.007,33.115,0.998,3.51,0.561,9.42,5
7.806,0.879,-0.0,2.62,0.098,25.021,66.937,0.997,3.199,0.679,9.797,5
7.799,0.763,0.04,2.284,0.092,14.957,53.772,0.997,3.261,0.65,9.789,5
11.192,0.281,0.562,1.912,0.075,17.031,59.867,0.998,3.162,0.579,9.819,6
7.415,0.698,-0.001,1.907,0.076,10.962,34.21,0.998,3.508,0.559,9.391,5
7.398,0.658,0.0,1.817,0.075,13.02,39.928,0.998,3.508,0.562,9.395,5
7.921,0.603,0.059,1.634,0.069,15.059,59.192,0.996,3.299,0.459,9.404,5
7.323,0.648,-0.003,1.215,0.065,15.101,21.055,0.995,3.393,0.473,10.003,7
7.773,0.579,0.02,1.982,0.072,9.022,17.541,0.997,3.362,0.568,9.5,7
7.52,0.501,0.36,6.104,0.071,17.116,101.987,0.998,3.351,0.8,10.499,5
6.686,0.579,0.08,1.787,0.098,14.878,65.662,0.996,3.279,0.539,9.21,5
7.507,0.501,0.355,6.08,0.071,16.981,102.502,0.998,3.348,0.8,10.49,5
5.613,0.612,0.003,1.623,0.089,15.818,58.77,0.994,3.578,0.52,9.93,5
7.8,0.61,0.292,1.603,0.113,9.138,29.337,0.998,3.259,1.558,9.09,5
8.89,0.62,0.176,3.806,0.176,52.182,145.396,0.999,3.158,0.879,9.198,5
8.914,0.619,0.192,3.897,0.169,50.982,148.3,0.999,3.172,0.928,9.205,5
8.494,0.282,0.56,1.792,0.092,35.041,103.42,0.997,3.299,0.75,10.485,7
8.087,0.56,0.278,1.706,0.368,15.977,56.218,0.997,3.11,1.28,9.293,5
7.384,0.59,0.082,4.405,0.084,5.916,29.076,0.997,3.381,0.5,8.989,4
7.883,0.321,0.515,1.798,0.34,17.136,55.719,0.997,3.041,1.08,9.201,6
8.889,0.218,0.483,1.818,0.077,28.923,59.896,0.997,3.39,0.531,9.408,6
7.637,0.395,0.308,2.292,0.082,22.932,71.388,0.998,3.522,0.651,9.698,5
7.895,0.43,0.207,1.605,0.106,9.913,36.569,0.997,3.169,0.909,9.516,5
8.524,0.491,0.111,2.305,0.084,8.633,67.243,0.997,3.169,0.532,9.405,5
6.894,0.398,0.14,2.402,0.085,20.938,39.488,0.997,3.43,0.628,9.705,6
6.345,0.387,0.161,1.396,0.081,10.928,22.925,0.996,3.342,0.556,9.313,5
7.615,0.41,0.243,1.8,0.08,3.913,10.74,0.996,3.28,0.591,9.496,5
7.843,0.432,0.209,1.599,0.106,9.81,36.95,0.997,3.17,0.913,9.525,5
7.076,0.71,0.002,1.897,0.08,13.985,34.664,0.997,3.471,0.549,9.388,5
7.773,0.644,-0.001,2.02,0.082,7.995,16.034,0.996,3.38,0.592,9.775,6
6.68,0.676,0.068,2.389,0.089,17.027,82.0,0.996,3.35,0.537,10.1,5
6.901,0.682,-0.004,2.51,0.104,22.111,37.36,0.997,3.46,0.569,10.569,6
8.328,0.655,0.115,2.312,0.083,14.976,112.613,0.997,3.169,0.662,9.792,5
6.884,0.606,0.122,10.716,0.074,39.951,82.479,0.999,3.45,0.52,9.391,6
5.212,0.322,0.251,1.801,0.103,13.201,49.906,0.996,3.379,0.55,9.201,5
7.756,0.643,-0.002,5.523,0.086,5.099,17.866,0.999,3.398,0.55,9.591,6
7.79,0.6,0.14,2.423,0.086,3.073,14.587,0.998,3.42,0.603,10.807,6
8.076,0.382,0.279,2.083,0.065,12.789,29.514,0.997,3.227,0.732,9.697,7
5.7,1.13,0.089,1.516,0.172,6.925,19.019,0.994,3.5,0.479,9.803,4
7.318,0.45,0.361,5.886,0.074,12.0,87.229,0.998,3.33,0.829,10.498,5
7.293,0.45,0.362,5.873,0.074,12.112,86.572,0.998,3.33,0.829,10.483,5
8.785,0.61,0.299,2.82,0.088,17.24,45.465,0.998,3.26,0.511,9.283,4
7.52,0.488,0.199,2.588,0.332,8.136,13.276,0.997,3.209,0.902,10.505,6
8.072,0.659,0.221,2.205,0.07,8.961,22.849,0.997,3.302,1.2,10.302,5
6.794,0.674,0.022,1.819,0.051,5.094,11.036,0.996,3.485,0.522,9.493,5
4.58,0.521,0.151,2.117,0.053,8.065,64.465,0.993,3.901,0.561,13.103,4
7.715,0.938,0.432,2.209,0.115,22.09,113.925,0.997,3.252,0.732,9.212,5
8.668,0.29,0.519,1.613,0.113,11.95,36.429,0.997,3.248,0.582,9.522,5
6.378,0.402,0.229,1.618,0.066,5.051,12.353,0.996,3.339,0.558,9.194,5
5.606,0.31,0.369,1.371,0.075,12.082,95.917,0.995,3.318,0.582,9.209,5
8.818,0.66,0.266,1.711,0.074,4.157,22.538,0.997,3.152,0.739,9.211,5
6.648,0.52,0.041,2.194,0.069,8.047,14.673,0.996,3.399,0.63,9.41,6
6.586,0.498,0.04,2.093,0.068,5.987,14.384,0.996,3.389,0.641,9.387,6
8.619,0.381,0.36,2.993,0.081,30.197,119.157,0.997,3.2,0.561,9.4,5
7.628,0.509,0.152,2.794,0.11,32.985,72.633,0.996,3.17,0.626,10.203,6
7.695,0.62,0.042,3.779,0.084,25.182,44.718,0.998,3.342,0.53,9.492,5
10.224,0.421,0.569,3.411,0.07,4.002,9.546,0.997,3.041,0.629,9.579,5
7.527,0.632,0.123,5.1,0.111,50.053,110.649,0.998,3.26,0.77,9.388,5
7.787,0.589,0.177,2.324,0.076,17.092,53.782,0.998,3.426,0.591,9.998,5
7.298,0.39,0.311,2.443,0.075,8.974,45.952,0.996,3.405,0.54,9.401,6
8.8,0.399,0.403,2.188,0.08,19.032,51.978,0.998,3.439,0.64,9.19,5
7.685,0.693,0.49,1.772,0.115,19.977,112.344,0.997,3.208,0.709,9.291,5
7.516,0.521,0.161,1.907,0.084,11.993,34.76,0.997,3.381,0.622,9.487,7
6.973,0.731,0.049,2.01,0.081,12.996,54.371,0.997,3.39,0.573,9.798,5
7.23,0.727,0.052,4.631,0.086,4.018,10.975,0.996,3.41,0.39,10.892,5
